"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PATENT","TOT","NBR","A","1985",153.4222,
"AUS","PATENT","TOT","NBR","A","1986",178.5213,
"AUS","PATENT","TOT","NBR","A","1987",188.8355,
"AUS","PATENT","TOT","NBR","A","1988",118.0797,
"AUS","PATENT","TOT","NBR","A","1989",130.4167,
"AUS","PATENT","TOT","NBR","A","1990",183.8875,
"AUS","PATENT","TOT","NBR","A","1991",187.7245,
"AUS","PATENT","TOT","NBR","A","1992",194.5009,
"AUS","PATENT","TOT","NBR","A","1993",205.8244,
"AUS","PATENT","TOT","NBR","A","1994",242.0135,
"AUS","PATENT","TOT","NBR","A","1995",238.6609,
"AUS","PATENT","TOT","NBR","A","1996",246.0319,
"AUS","PATENT","TOT","NBR","A","1997",300.8488,
"AUS","PATENT","TOT","NBR","A","1998",322.4953,
"AUS","PATENT","TOT","NBR","A","1999",335.8896,
"AUS","PATENT","TOT","NBR","A","2000",516.8142,
"AUS","PATENT","TOT","NBR","A","2001",464.0269,
"AUS","PATENT","TOT","NBR","A","2002",490.8445,
"AUS","PATENT","TOT","NBR","A","2003",496.6086,
"AUS","PATENT","TOT","NBR","A","2004",520.219,
"AUS","PATENT","TOT","NBR","A","2005",479.0832,
"AUS","PATENT","TOT","NBR","A","2006",362.425,
"AUS","PATENT","TOT","NBR","A","2007",347.7129,
"AUS","PATENT","TOT","NBR","A","2008",316.5456,
"AUS","PATENT","TOT","NBR","A","2009",351.147,
"AUS","PATENT","TOT","NBR","A","2010",307.47,
"AUS","PATENT","TOT","NBR","A","2011",321.0631,
"AUS","PATENT","TOT","NBR","A","2012",337.3584,
"AUS","PATENT","TOT","NBR","A","2013",308.8081,
"AUS","PATENT","TOT","NBR","A","2014",323.6139,
"AUS","PATENT","TOT","NBR","A","2015",350.3442,
"AUS","PATENT","TOT","NBR","A","2016",348.7889,
"AUS","PATENT","TOT","NBR","A","2017",363.1714,
"AUS","PATENT","TOT","NBR","A","2018",370.2096,
"AUS","PATENT","TOT","NBR","A","2019",365.5856,
"AUT","PATENT","TOT","NBR","A","1985",162.0226,
"AUT","PATENT","TOT","NBR","A","1986",157.9,
"AUT","PATENT","TOT","NBR","A","1987",182.1342,
"AUT","PATENT","TOT","NBR","A","1988",213.7556,
"AUT","PATENT","TOT","NBR","A","1989",200.2913,
"AUT","PATENT","TOT","NBR","A","1990",175.0834,
"AUT","PATENT","TOT","NBR","A","1991",189.6622,
"AUT","PATENT","TOT","NBR","A","1992",148.1911,
"AUT","PATENT","TOT","NBR","A","1993",180.4625,
"AUT","PATENT","TOT","NBR","A","1994",213.0989,
"AUT","PATENT","TOT","NBR","A","1995",226.3134,
"AUT","PATENT","TOT","NBR","A","1996",215.7495,
"AUT","PATENT","TOT","NBR","A","1997",263.0841,
"AUT","PATENT","TOT","NBR","A","1998",276.2089,
"AUT","PATENT","TOT","NBR","A","1999",279.1973,
"AUT","PATENT","TOT","NBR","A","2000",346.916,
"AUT","PATENT","TOT","NBR","A","2001",340.4384,
"AUT","PATENT","TOT","NBR","A","2002",350.2042,
"AUT","PATENT","TOT","NBR","A","2003",346.5577,
"AUT","PATENT","TOT","NBR","A","2004",352.4526,
"AUT","PATENT","TOT","NBR","A","2005",410.7723,
"AUT","PATENT","TOT","NBR","A","2006",354.4539,
"AUT","PATENT","TOT","NBR","A","2007",376.7857,
"AUT","PATENT","TOT","NBR","A","2008",339.8523,
"AUT","PATENT","TOT","NBR","A","2009",369.4475,
"AUT","PATENT","TOT","NBR","A","2010",389.3839,
"AUT","PATENT","TOT","NBR","A","2011",362.2073,
"AUT","PATENT","TOT","NBR","A","2012",378.1622,
"AUT","PATENT","TOT","NBR","A","2013",379.6181,
"AUT","PATENT","TOT","NBR","A","2014",401.8232,
"AUT","PATENT","TOT","NBR","A","2015",400.2033,
"AUT","PATENT","TOT","NBR","A","2016",358.4832,
"AUT","PATENT","TOT","NBR","A","2017",372.5219,
"AUT","PATENT","TOT","NBR","A","2018",383.0583,
"AUT","PATENT","TOT","NBR","A","2019",384.7094,
"BEL","PATENT","TOT","NBR","A","1985",165.2021,
"BEL","PATENT","TOT","NBR","A","1986",175.018,
"BEL","PATENT","TOT","NBR","A","1987",188.9786,
"BEL","PATENT","TOT","NBR","A","1988",194.6786,
"BEL","PATENT","TOT","NBR","A","1989",247.8015,
"BEL","PATENT","TOT","NBR","A","1990",221.7952,
"BEL","PATENT","TOT","NBR","A","1991",255.5585,
"BEL","PATENT","TOT","NBR","A","1992",296.7621,
"BEL","PATENT","TOT","NBR","A","1993",351.4256,
"BEL","PATENT","TOT","NBR","A","1994",355.608,
"BEL","PATENT","TOT","NBR","A","1995",376.962,
"BEL","PATENT","TOT","NBR","A","1996",364.8729,
"BEL","PATENT","TOT","NBR","A","1997",445.2308,
"BEL","PATENT","TOT","NBR","A","1998",416.9555,
"BEL","PATENT","TOT","NBR","A","1999",406.3446,
"BEL","PATENT","TOT","NBR","A","2000",455.5292,
"BEL","PATENT","TOT","NBR","A","2001",438.7353,
"BEL","PATENT","TOT","NBR","A","2002",473.3209,
"BEL","PATENT","TOT","NBR","A","2003",463.2514,
"BEL","PATENT","TOT","NBR","A","2004",568.0849,
"BEL","PATENT","TOT","NBR","A","2005",543.1248,
"BEL","PATENT","TOT","NBR","A","2006",478.18,
"BEL","PATENT","TOT","NBR","A","2007",430.5385,
"BEL","PATENT","TOT","NBR","A","2008",457.8504,
"BEL","PATENT","TOT","NBR","A","2009",480.3575,
"BEL","PATENT","TOT","NBR","A","2010",465.3738,
"BEL","PATENT","TOT","NBR","A","2011",463.2855,
"BEL","PATENT","TOT","NBR","A","2012",430.5442,
"BEL","PATENT","TOT","NBR","A","2013",431.116,
"BEL","PATENT","TOT","NBR","A","2014",394.1619,
"BEL","PATENT","TOT","NBR","A","2015",424.9857,
"BEL","PATENT","TOT","NBR","A","2016",411.7817,
"BEL","PATENT","TOT","NBR","A","2017",431.2211,
"BEL","PATENT","TOT","NBR","A","2018",437.7885,
"BEL","PATENT","TOT","NBR","A","2019",437.3536,
"CAN","PATENT","TOT","NBR","A","1985",205.7241,
"CAN","PATENT","TOT","NBR","A","1986",220.0536,
"CAN","PATENT","TOT","NBR","A","1987",294.1682,
"CAN","PATENT","TOT","NBR","A","1988",253.0721,
"CAN","PATENT","TOT","NBR","A","1989",320.0609,
