"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.4662889242,
"AUS","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",35.555072784,
"AUT","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.6294496059,
"AUT","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",18.447868347,
"BEL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",2.5616369247,
"BEL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",29.934019089,
"CAN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.8465491533,
"CAN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",37.150047302,
"CZE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.146115303,
"CZE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",19.328004837,
"DNK","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.2783138752,
"DNK","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",39.071475983,
"FIN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.9233691096,
"FIN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",34.25030899,
"FRA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.9557048678,
"FRA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",28.876070023,
"DEU","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",2.2399535179,
"DEU","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",18.927801132,
"GRC","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.2788348496,
"GRC","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",9.2915735245,
"HUN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.6051485538,
"HUN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",14.521000862,
"IRL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.1082831621,
"IRL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",27.047512054,
"ITA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.6099099517,
"ITA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",11.561255455,
"JPN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.3711635172,
"JPN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",14.745013237,
"KOR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.7859799862,
"KOR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",22.114751816,
"LUX","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",3.3178825378,
"LUX","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",37.21522522,
"MEX","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",7.3690948486,
"MEX","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",3.8880259991,
"NLD","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.6276874542,
"NLD","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",44.641361237,
"NZL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",5.5555157661,
"NZL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",33.172073364,
"NOR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.2283046246,
"NOR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",51.384098053,
"POL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.6904754043,
"POL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",14.153203011,
"PRT","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.6233452559,
"PRT","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",23.478618622,
"SVK","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",2.0813128948,
"SVK","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",22.988790512,
"ESP","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",4.7217459679,
"ESP","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",30.341213226,
"SWE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.2698990107,
"SWE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",46.158748627,
"CHE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",0.5602555871,
"CHE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",28.010766983,
"TUR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",3.183180809,
"TUR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",10.942590714,
"GBR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",2.8987205029,
"GBR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",25.915616989,
"USA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2014",1.3366367817,
