"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1991",9.0263309479,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1992",8.7990617752,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1993",8.7682094574,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1994",8.9805908203,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1995",9.0636301041,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1996",8.8339681625,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1997",8.9602556229,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1998",9.1230592728,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1999",8.9582195282,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2000",9.2921638489,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2001",9.4605503082,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2002",9.2559108734,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2003",9.1046819687,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2004",9.1280355453,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2005",9.1847085953,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2006",8.8999900818,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2007",8.312415123,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2008",8.4323263168,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2009",8.5959262848,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2010",8.546877861,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2011",8.1056509018,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2012",8.0243873596,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2013",7.9824466705,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2014",7.9842181206,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2015",7.79114151,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2016",7.8941245079,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2017",7.967227459,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1991",5.4377055168,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1992",5.2773680687,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1993",5.3391399384,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1994",5.5244436264,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",5.5227661133,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",5.4232110977,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",5.5063385963,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",5.5396957397,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",5.2081413269,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",5.3292222023,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",5.7342033386,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",5.6083445549,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",5.4536867142,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",5.3270316124,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",5.3534817696,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",5.0993685722,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",4.9717750549,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",4.9589271545,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",4.6258063316,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",4.7666087151,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",4.6011009216,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",4.3865466118,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",4.3434252739,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",4.3060107231,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",4.3539648056,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",4.2217569351,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",4.136926651,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1995",6.2873234749,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1996",6.408862114,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1997",6.3919463158,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1998",6.6415734291,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1999",6.40046978,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2000",6.4283618927,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.346719265,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2002",6.9207978249,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2003",6.7465748787,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2004",5.8862771988,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2005",6.5031404495,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2006",6.5027213097,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2007",6.6653971672,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2008",6.3245205879,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2009",6.4823689461,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2010",6.4321370125,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2011",6.5424528122,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2012",6.4778270721,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2013",6.2620110512,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2014",6.5845170021,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2015",6.2295999527,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2016",6.2594294548,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2017",6.3207464218,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2018",6.22803545,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2019",6.5781350136,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",2.6114649773,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",2.6622083187,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",2.8257658482,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",2.9854538441,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",2.855535984,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",3.0583701134,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",2.9693191051,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",2.990881443,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.9133763313,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.243884325,"B"
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",2.2436659336,"B"
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.5276827812,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",2.603073597,"B"
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",2.5792882442,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",2.5355360508,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",2.5048902035,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",2.3841485977,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",2.2922637463,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",2.2355794907,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",2.3583669662,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",2.3764951229,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.4851708412,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.6154704094,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.4683926105,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.4632499218,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1983",2.4156973362,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1984",2.2115986347,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1985",2.2493715286,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1986",2.4591255188,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1987",2.003421545,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1988",1.8603594303,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1989",2.0749280453,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1990",2.2827000618,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1991",1.956912756,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1992",2.2880275249,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1993",2.9426233768,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1994",2.3278672695,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1995",2.673157692,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1996",2.6586773396,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1997",2.0587584972,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1998",2.4733417034,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1999",5.8707556725,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2000",6.1208949089,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.14503479,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2002",5.46443367,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2003",5.6027536392,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2004",6.2094736099,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2005",6.3651375771,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2006",6.3683519363,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2007",6.2040476799,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2008",5.8555788994,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2009",6.1689386368,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2010",6.1086902618,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2011",5.9478330612,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2012",5.6546401978,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2013",5.9222216606,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2014",5.5234131813,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2015",5.8283619881,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2016",5.6347870827,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2017",5.3715815544,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2018",5.0617184639,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2019",4.8735108376,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1983",0.472671032,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1984",0.550688386,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1985",0.4491262436,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1986",0.4507404864,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1987",0.3881611228,"N"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1988",0.4029072225,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1989",0.4561696649,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1990",0.517483592,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1991",0.3862359524,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1992",0.4803464115,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1993",0.7327238917,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1994",0.5103411674,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",0.63584584,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",0.5613154173,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",0.437242806,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",0.7969135642,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",2.289711237,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",2.2535536289,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",1.9720141888,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",1.936424613,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.0099341869,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.2311468124,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",2.2089226246,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.406273365,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",2.2314479351,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",2.0608637333,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",2.2482104301,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",2.3538155556,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",1.8714081049,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",2.0579752922,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",2.2471909523,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",2.3533344269,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",2.3734779358,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.3013048172,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.4646065235,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.1867344379,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.0313613415,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1976",6.3889842033,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1977",6.7179498672,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1978",6.7257757187,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1979",6.7900190353,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1980",7.0209021568,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1981",7.4388003349,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1982",8.283700943,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1983",8.6046476364,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1984",8.133146286,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1985",8.74696064,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1986",8.6691989899,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1987",8.5177869797,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1988",8.8350839615,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1989",8.6464614868,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1990",8.6654195786,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1991",9.3294086456,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1992",9.2259511948,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1993",9.3208465576,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1994",8.7763757706,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1995",8.8130788803,
