"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2014-Q2",114.67,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2014-Q4",115.132,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2015-Q2",126.326,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2015-Q4",127.057,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2016-Q2",129.564,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2016-Q4",130.396,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2017-Q2",134.088,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2017-Q4",134.055,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2018-Q2",136.339,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2018-Q4",129.161,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2019-Q2",131.139,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2019-Q4",129.092,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2020-Q2",127.124,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",123.246,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2009-Q4",21.305,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2010-Q2",26.036,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2010-Q4",33.015,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2011-Q2",38.031,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2011-Q4",46.003,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2012-Q2",51.438,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2012-Q4",58.056,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2013-Q2",62.91,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2013-Q4",64.479,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2014-Q2",65.476,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2014-Q4",67.056,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2015-Q2",67.291,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2015-Q4",69.897,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2016-Q2",78.151,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2016-Q4",81.519,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2017-Q2",83.204,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2017-Q4",87.82,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2018-Q2",86.551,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2018-Q4",88.478,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2019-Q2",90.679,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2019-Q4",91.152,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2020-Q2",105.659,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",108.067,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2009-Q4",5.695,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2010-Q2",6.78,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2010-Q4",9.55,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2011-Q2",12.939,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2011-Q4",18.856,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2012-Q2",25.644,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2012-Q4",32.758,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2013-Q2",45.565,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2013-Q4",51.258,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2014-Q2",53.931,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2014-Q4",53.459,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2015-Q2",56.908,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2015-Q4",61.56,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2016-Q2",64.133,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2016-Q4",66.017,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2017-Q2",71.823,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2017-Q4",75.506,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2018-Q2",75.397,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2018-Q4",76.145,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2019-Q2",78.308,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2019-Q4",87.364,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q2",87.358,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",89.622,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2010-Q2",16.855,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2010-Q4",29.482,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2011-Q2",30.819,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2011-Q4",38.399,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2012-Q2",40.569,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2012-Q4",45.571,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2013-Q2",49.333,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2013-Q4",51.788,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2014-Q2",54.182,
